음 식 명,분류,중량,에너지,탄수화물,지방,단백질,나트륨,콜레스테롤,트랜스지방
쌀밥,밥류,210,334.8,73.71,0.45,5.76,59.4,0,0
기타잡곡밥,밥류,200,302.36,65.52,0.75,6.71,3.39,0,0
콩밥,밥류,200,322.9,65.85,1.67,8.43,4.1,0,0
보리밥,밥류,200,316.1,70.57,0.14,5.55,4.5,0,0
돌솥밥,밥류,350,528.86,101.85,8.35,10.19,618.32,2.37,0
현미밥,밥류,230,351.35,77.88,1.1,6.66,42.08,0,0
흑미밥,밥류,200,318,70.29,0.39,5.44,4.5,0,0
감자밥,밥류,200,308,68.64,0.08,5.68,5.2,0,0
곤드레밥,밥류,350,506.8,108.05,8.37,14.14,88.75,0,0
김치볶음밥,밥류,500,656.98,79.29,5.06,8.74,1094.91,76,0
주먹밥,밥류,150,209.56,36.18,3.46,6.7,329.69,50.13,0
볶음밥,밥류,400,687.74,100.33,19.29,24.46,1441.42,309,0
일반비빔밥,밥류,500,703,95.68,25.28,22.6,1234.09,40.2,0
전주비빔밥,밥류,450,662.19,92.99,13.03,15.84,1281.3,286.94,0
삼선볶음밥,밥류,400,683.62,113.43,16.84,19.26,1155.81,119.13,0
새우볶음밥,밥류,400,634.52,91.62,17.91,24.12,1124.63,127.2,0
알밥,밥류,400,606.54,92.1,3.45,15.16,1647.87,39,0
산채비빔밥 ,밥류,400,495.89,89.66,10.99,10.66,1060.78,0,0
오므라이스,밥류,450,684.99,101.62,19.75,23.15,1123.24,605.63,0
육회비빔밥,밥류,450,661.41,91.74,17.54,32,1126.6,241.65,0
해물볶음밥,밥류,400,659.23,85.19,23.71,22.68,951.03,362.4,0
열무비빔밥,밥류,400,445.66,90.03,3.16,12.99,718.39,12.8,0
불고기덮밥,밥류,500,699.96,92.09,21.4,29.31,1182.88,72,0
소고기국밥,밥류,700,331.71,54.93,4.74,16.04,1613.21,25.5,0
송이덮밥,밥류,600,600.42,103.57,14.45,16.28,1578.85,9.54,0
오징어덮밥,밥류,500,693.98,83.43,20.92,40.59,1497.37,387.6,0
자장밥,밥류,500,729.62,98.08,24.95,25.76,1521.85,36,0
잡채밥,밥류,650,851.54,125.7,28.61,21.14,2251.34,36,0
잡탕밥,밥류,750,737.23,100.55,22.48,29.02,1922.14,188.05,0
장어덮밥,밥류,400,671.72,103.04,19.24,26.14,893.22,156.96,0
제육덮밥,밥류,500,796.94,95.8,27.52,37.8,1375.69,108,0
짬뽕밥,밥류,900,696.69,93.42,22.42,41.8,2869.54,304.3,0
순대국밥,밥류,900,690.35,34.23,16.48,17.34,3418.2,1480.97,0
카레라이스,밥류,500,653.24,92.58,10.67,13.4,1108.55,13.75,0
전주콩나물국밥,밥류,900,432.38,88.73,3.53,12.5,1753.26,2.77,0
해물덮밥,밥류,700,837.98,100.11,29,51.77,2117.83,293.87,0
회덮밥,밥류,500,698,101.75,11.4,42.99,777.63,125.59,0
소머리국밥,밥류,1100,891.43,77.06,40.76,48.94,970.9,477.1,0
돼지국밥,밥류,1200,811.44,78.28,36.45,56.76,1257.67,734.5,0
하이라이스,밥류,360,477.6,84.59,9.67,7.92,991.68,8.57,0
김치김밥,밥류,250,377.26,71.8,4.62,11.45,967.79,99.6,0
농어초밥,밥류,250,414.78,74.14,2.37,19.93,1385.46,43.47,0
문어초밥,밥류,250,377.97,71.84,1.03,16.9,1420.92,96,0
새우초밥,밥류,250,395.54,69.54,1.21,22.74,1396.75,138.33,0
새우튀김롤,밥류,300,572.02,81.5,18.9,21.11,1512.5,96.54,0
샐러드김밥,밥류,250,422.43,75.84,7.51,12.76,906.68,100.53,0
광어초밥,밥류,300,471.66,72.53,3.21,33.74,951.28,126.5,0
소고기김밥,밥류,250,425.67,76.07,6.64,14.67,1477.98,99.87,0
갈비삼각김밥,밥류,100,183.18,32.75,2.6,6.86,398.12,12.42,0
연어롤 ,밥류,300,518.58,76.11,14.72,20.72,1243.82,51.73,0
연어초밥,밥류,250,451.03,70.87,5.76,24.94,995.03,54.6,0
유부초밥,밥류,250,463.21,78.47,11.23,12.37,929.07,0,0
장어초밥,밥류,400,486.35,74.84,12.73,16.33,1291.81,130.43,0
참치김밥,밥류,250,401.22,47.55,14.59,19.83,925.73,143.67,0
참치마요삼각김밥,밥류,100,189.58,31.93,2.89,8.11,189.1,16.63,0
치즈김밥 ,밥류,250,462.23,77.13,8.84,17.12,919.97,83.02,0
캘리포니아롤,밥류,300,468.16,81.22,9.73,12.8,1351.96,28.34,0
한치초밥,밥류,250,389.96,77.31,1.2,13.54,1153.49,0.75,0
일반김밥,밥류,200,348.87,63.64,5.42,10.28,951.32,69.12,0
간자장,면류,650,807.74,121.75,26.38,29.28,2347.77,19.43,0
굴짬뽕,면류,900,640.77,115.82,7.76,37.39,2385.35,178.2,0
기스면,면류,1000,645.61,98.3,11,43.52,2279.52,341.1,0
김치라면,면류,650,512.26,80.57,20.34,12.97,2628.29,15.41,0
김치우동,면류,800,512.71,99.06,4.74,16.74,3003.05,33.44,0
김치말이국수,면류,600,310.38,60.76,2.47,10.42,2335.45,22.23,0
닭칼국수,면류,900,643.1,70.24,19.59,39.86,2492.77,113.77,0
들깨칼국수,면류,600,442.32,76.67,6.78,17.48,1695.77,16.72,0
떡라면,면류,700,672.18,121.08,17.58,15.45,2214.36,2.34,0
라면,면류,550,509.33,83.17,17.75,14.08,1695.5,2.34,0
막국수,면류,550,566.89,111.3,5.09,26.95,1828.02,37.1,0
메밀국수,면류,600,588.68,120.09,4.53,25.26,1962.46,35.98,0
물냉면,면류,800,579.71,96.4,9.78,28.78,2586.16,178.23,0
비빔국수,면류,550,577.17,114.48,9.55,16.71,1628.3,0,0
비빔냉면,면류,550,594.31,91.49,9.13,23.7,1530.57,31.73,0
삼선우동,면류,1000,692.26,89.2,10.53,56.17,2351.43,640.68,0
삼선자장면,면류,700,787.84,111.57,24.68,38.33,2791.11,162.24,0
삼선짬뽕,면류,900,629.1,89.31,13.45,39.17,2825.66,249.3,0
수제비,면류,800,622.15,99.22,6.54,38.53,1669.32,209,0
쌀국수,면류,600,321.34,46.2,5.81,21.85,2032.17,123.03,0
열무김치국수,면류,800,488.32,81.61,8.22,21.94,2587.7,45.14,0
오일소스스파게티,면류,400,626.59,99.24,16.59,14.68,968.7,0,0
일식우동,면류,700,420.79,81.23,1.74,16.94,1873.54,16.2,0
볶음우동,면류,300,377.92,62.26,10.81,9.59,1461.31,0,0
자장면,면류,650,760.88,134.29,23.16,15.74,2447,3.08,0
잔치국수,면류,700,564.23,104.67,6.23,20.26,1792.23,167.41,0
짬뽕,면류,1000,650.31,118.54,13.53,25.53,3451.37,105.23,0
짬뽕라면,면류,750,633.34,88.79,24.63,31.41,2380.93,85.28,0
쫄면,면류,450,622.42,110.85,6.93,12.36,1271.55,0,0
치즈라면,면류,600,598.67,83.53,23.28,23.35,2425.97,302.2,0
콩국수,면류,800,623.5,67.12,20.43,47.8,875.84,0,0
크림소스스파게티,면류,400,825.06,85.88,45.4,19.44,1025.21,140.15,0
토마토소스스파게티,면류,500,642.18,102.07,17.37,20.22,1404.81,12.65,0
해물칼국수,면류,900,621.2,124.21,4.01,24.87,2195.05,156.77,0
회냉면,면류,550,638.9,131.9,8.78,20.22,1524.28,92.9,0
떡국,국/죽류,800,714.99,144.03,5.39,21.86,2019.28,90.8,0
떡만둣국,국/죽류,700,625.35,113.96,9.4,22.72,1999.12,298.81,0
고기만두,반찬류,250,454.39,55.33,18.25,18.66,888.8,21,0
군만두,반찬류,250,684.42,76.17,31.18,19.77,983.7,36,0
김치만두,반찬류,250,424.64,60.79,13.1,18.43,961.97,20.28,0
물만두,반찬류,120,158.05,20.48,5.84,5.86,269.52,7.59,0
만둣국,국/죽류,700,432.62,53.28,14.92,19.24,2356.67,94.22,0
게살죽,국/죽류,800,554.24,103.59,7.63,18.15,1533.96,40.87,0
깨죽,국/죽류,800,505.68,71.13,18.94,13.43,1212.27,0,0
닭죽,국/죽류,1000,1181.71,92.53,48.18,75.93,789.79,271.44,0
소고기버섯죽,국/죽류,800,573.24,102.93,6.46,20.52,1263.62,29.32,0
어죽,국/죽류,800,559.27,90.47,6.08,15.53,1621.29,75.77,0
잣죽,국/죽류,700,872.61,153.79,20.29,15.79,850.63,0,0
전복죽,국/죽류,800,587.29,105.04,11.45,14.57,1423.93,45.15,0
참치죽,국/죽류,800,658.46,105.94,13.85,26.08,1264.15,40.76,0
채소죽,국/죽류,800,514.83,100.8,5.13,11.89,1211.63,24.29,0
팥죽,국/죽류,600,482.65,100.74,0.56,20.59,1026.11,0,0
호박죽,국/죽류,600,430.33,111.41,0.72,8.11,911.72,0,0
콘스프,국/죽류,400,280.48,35.37,14.02,5.82,1319.46,40.71,0
토마토스프,국/죽류,400,382.41,12.42,25.4,18.2,1544.31,70.8,0
굴국,국/죽류,450,194.42,11.44,8.65,22.8,1775.97,45,0
김치국,국/죽류,450,86,13.01,3.38,6.03,1646.15,0,0
달걀국,국/죽류,450,193.04,5.35,11.11,16.19,1263.96,641.25,0
감자국,국/죽류,700,220.07,37.01,2.16,17,1734.15,87.78,0
미역국,국/죽류,500,50.17,4.7,4.35,2.7,1527.55,0,0
바지락조개국,국/죽류,550,159.25,8.51,1.84,25.83,1650.85,145.2,0
소고기무국,국/죽류,400,125.22,8.14,4.72,13.51,1095.18,28.56,0
소고기미역국,국/죽류,650,154.93,6.91,6.83,20.23,2006.88,41.34,0
순대국,국/죽류,800,550.66,22.82,32.94,41.22,1532.59,774.77,0
어묵국,국/죽류,600,252.09,37.16,4.21,22.85,2022.74,100.37,0
오징어국,국/죽류,500,169.04,10.6,2.36,27.74,1573.42,296.4,0
토란국,국/죽류,250,462.97,85.16,7.07,23.89,700.67,37.73,0
탕국,국/죽류,250,94.24,2.58,4.32,12.08,663.05,35.48,0
홍합미역국,국/죽류,650,168.88,14.13,6.43,19.99,2066.27,79.63,0
황태해장국,국/죽류,600,184.22,6.39,7.22,25.21,1526.82,91.61,0
근대된장국,국/죽류,450,109.26,8.14,3.21,15.31,1453.19,112.86,0
미소된장국,국/죽류,150,37.97,1.7,1.75,4.14,511.98,15.68,0
배추된장국,국/죽류,700,121.53,11.04,3.63,13.96,2321.48,25.97,0
뼈다귀해장국 ,국/죽류,1000,715.98,29.71,45.37,53.63,3093.6,216.24,0
선지(해장)국,국/죽류,1000,314.42,22.29,5.03,48.1,3053.19,149.6,0
콩나물국,국/죽류,400,22.53,1.26,1.42,1.82,752.43,7.41,0
시금치된장국,국/죽류,400,121.45,9.9,3.39,16.69,1381.25,117.04,0
시래기된장국,국/죽류,450,99.12,10.68,2.54,10.02,1535.63,37.62,0
쑥된장국,국/죽류,450,117.32,17.17,2.55,13.21,1799.6,68.97,0
아욱된장국,국/죽류,450,103.53,9.96,2.94,12,1462.13,37.62,0
우거지된장국,국/죽류,450,85.97,13.72,1.81,6.44,1593.99,0,0
우거지해장국,국/죽류,600,158.5,14.86,5.73,14.19,1972.09,13.26,0
우렁된장국,국/죽류,500,245.28,21.19,7.05,24.72,2150.43,22.95,0
갈비탕,국/죽류,600,240.4,8.21,14.33,18.67,1688.43,189.84,0
감자탕,국/죽류,900,963.71,49.64,58.28,60.55,2439.38,143.69,0
곰탕,국/죽류,300,181.42,15.5,5.44,16.59,713.64,33.66,0
매운탕,국/죽류,600,402.79,18.83,21.56,37.16,2130.95,148.77,0
꼬리곰탕,국/죽류,700,750.69,10.93,52.8,54.87,764.73,361.23,0
꽃게탕,국/죽류,600,240.65,20.77,5.49,31.7,2268.86,207.9,0
낙지탕,국/죽류,600,186.1,11.77,2.73,29.21,1711.12,249.6,0
내장탕,국/죽류,700,549.81,13.7,31.51,56.97,2383.07,467.04,0
닭곰탕,국/죽류,650,527.7,15.39,24.14,58.88,1005.19,230.49,0
닭볶음탕,국/죽류,300,371.81,19.17,17.32,33.85,1030.46,119.25,0
지리탕,국/죽류,600,260.59,10.52,8.36,38.34,1685.16,154.15,0
도가니탕,국/죽류,800,563.65,5.58,34.77,54.6,599.27,192.64,0
삼계탕,국/죽류,1000,881.32,44.08,40.57,76.65,1211.32,285,0
설렁탕,국/죽류,600,422.76,10.94,18.2,52.71,725.16,219.36,0
알탕,국/죽류,700,424.13,49.52,6.98,49.21,2393.29,610.8,0
연포탕,국/죽류,1000,541.19,21.64,9.2,91.65,2307.07,844,0
오리탕,국/죽류,600,480.82,24.16,21.64,43.21,1849.93,161.7,0
추어탕,국/죽류,700,338.67,24.42,11.51,37.37,2077.15,298.48,0
해물탕,국/죽류,600,272.26,19.58,3.38,41.74,2071.99,350.22,0
닭개장,국/죽류,700,317.07,19.18,14.95,33.74,1786.03,96.9,0
육개장,국/죽류,440,137.86,11.62,5.87,13.44,1112.78,24.23,0
뼈해장국,국/죽류,1000,692.93,25.42,37.16,67.92,3192.46,634.2,0
미역오이냉국,국/죽류,450,77.35,19.74,1.35,5.61,1483.6,0,0
고등어찌개,국/죽류,600,605.31,32.03,28.2,59.16,2599.71,206.64,0
꽁치찌개,국/죽류,300,356.63,14.48,20.69,29.51,1296.33,84.48,0
동태찌개,국/죽류,800,369.69,18.94,7.8,59.57,2487.54,292.66,0
부대찌개,국/죽류,600,525.98,46.81,28.48,27.71,2689.19,42.96,0
된장찌개,국/죽류,400,147.06,15.98,5.27,11.71,2021.78,0,0
청국장찌개,국/죽류,400,275.46,14.97,14.43,25.84,1839.75,36,0
두부전골,국/죽류,500,315.11,16.2,19.15,29.15,1651.53,0,0
곱창전골,국/죽류,600,532.65,26.89,34.73,38.35,1750.42,230.7,0
소고기전골,국/죽류,300,203.22,16.55,7.54,19.47,1090.15,31.8,0
국수전골,국/죽류,400,643.16,66.93,22.39,45.29,1524.63,81.6,0
돼지고기김치찌개,국/죽류,400,246.29,9.33,18.26,15.5,1961.48,25.3,0
버섯찌개,국/죽류,400,171.86,15.26,7.52,16.64,1267.81,0,0
참치김치찌개,국/죽류,400,193.58,13.33,10.89,16.86,2604.45,35.44,0
순두부찌개,국/죽류,400,198.47,8.78,14.03,14.72,1331.31,6.6,0
콩비지찌개,국/죽류,400,248.66,24.52,12.81,15.96,1206.33,27.06,0
햄김치찌개,국/죽류,300,190.47,15.44,10.68,11.63,1527.82,23.37,0
호박찌개,국/죽류,300,98.3,12.74,2.34,7.78,1028.15,59.28,0
고추장찌개,국/죽류,500,263.44,20.08,12.35,25.62,935.15,48.15,0
대구찜,생선류,500,372.68,26.43,8.43,54.08,1888.04,196.35,0
도미찜,생선류,100,126.31,0.76,3.68,21.01,882.04,191.25,0
문어숙회,생선류,80,67.49,0.18,0.73,14.14,222.83,116.74,0
아귀찜,생선류,400,310.7,17.59,6.68,48.85,1463.31,187.42,0
조기찜,생선류,100,185.25,1.81,9.2,22.27,631.89,105.74,0
참꼬막,생선류,80,89.77,4.92,2.17,12.98,400.23,46.99,0
해물찜,생선류,500,397.38,36.02,8.94,50.28,2213.44,323.98,0
소갈비찜,육류,250,500.45,11.31,29.17,42.55,768.42,141.83,0
돼지갈비찜,육류,170.1,249.7,8.82,14.42,20.57,946.68,70.38,0
돼지고기수육,육류,300,1218.19,8.69,99.52,61.47,389.53,191.4,0
찜닭,육류,1500,1358.38,140.64,36.54,114.9,5290.09,341.64,0
족발,육류,150,381.57,32.3,16.62,26.02,839.14,98,0
달걀찜,육류,250,190,4.81,10.91,16.2,860.32,634.57,0
닭갈비,육류,300,562.1,24.54,28.89,52.3,975.55,224.1,0
